playername,elo
Rainbow,1798.4461076833302
xiaohuangren,1798.0793728815418
Xpecial,1797.847589894977
XLong,1797.805411545742
Holo,1797.7970546490849
Cixue,1797.602049305317
Slay,1797.5509849542589
Sora,1797.357190011707
Demon,1797.348260958984
SMILEY,1797.309115378289
COLD,1797.258866067394
Moyu,1796.8506215253826
Winsome,1796.6334575945627
Police,1796.2901543404455
Galen,1796.233615186467
Cody Sun,1796.1588131662688
Jun,1796.049902769899
Paz,1795.9977226230249
Saintvicious,1795.8429659900316
Mist,1795.7749633885956
Melonik,1795.6876224045425
Rather,1795.5746205177556
aphromoo,1795.2500810067577
Attila,1795.177426965243
lovely,1795.116998077376
GlissyBoy,1795.0023429038808
Hans SamD,1794.9814588070187
Liang,1794.8840088774332
HolyPhoenix,1794.82752542288
Funny,1794.7420031292786
Hana,1794.4031280778345
Sundae,1794.401191697305
Frozen,1794.3456826055583
yyy,1794.1050356559936
rinrin,1793.888559457983
Oscarinin,1793.8056357138073
kabbie,1793.7100708915536
V30,1793.700344832139
Brance,1793.5972394316802
Croc,1793.4983092609575
Goldenglue,1793.4019659119135
Senan,1793.3169700348171
Pride,1793.2910295896547
Intense,1793.2270128957862
Ethe,1793.1362791709314
Hudie,1792.9437306266832
XuanXuanPi,1792.9360056221838
Xico,1792.8762883359257
Raydere,1792.7909440191022
Cake,1792.6567335666737
Kitties,1792.5431595598825
Rhuckz,1792.4042245773303
Xiaoxu,1792.2129777782018
Cruzer,1792.1012414812756
nanzhu,1791.8737642089086
GarnetDevil,1791.7718479674038
Szygenda,1791.627316139775
Tomo,1791.5902722274757
Haydal,1791.4877395954593
OmarGod,1791.4866602009347
September,1791.4146511122942
View,1791.413791402899
Huanggai,1791.397414330795
fuyao,1791.32516894691
Chunkyfresh,1791.1874455410373
Keduii,1791.142344359626
BeBe,1791.0812074148314
Yui,1791.074120888252
Qats,1791.0638839683038
Nien,1790.89753111578
Vortex,1790.7203844595103
Sword,1790.5993859168848
Crash,1790.5195986109104
Stixxay,1790.5116158329904
Eyliph,1790.4127887013783
Hoodstomp,1790.3841339939736
Serin,1790.3644310459097
Crownie,1790.29408375485
Xing,1790.2478091652165
Mir,1790.230849941286
Neo,1790.0818625435566
Jisu,1790.0495306380817
monarca,1789.8844404569093
