playerid,elo
oe:player:56f99715ea80d547c230b1ba35f3989,1780.0
oe:player:7cf68f44e5dc31827b1d3f0a3b4a28e,2073.472327282732
oe:player:aab7b38c5cc01aebed175f16847499d,1580.0
oe:player:d824e1e2a435ff9d8a567b1af0bad2a,1957.6951468743553
oe:player:c0a0bee29b0d15061a1b8d8a4e0fdb9,1943.2051828572532
oe:player:8a53d0a40c81d51f83eb0d41075d07b,1996.8522046424282
oe:player:3c4d21c7addb20fea3fec30418ac3d3,1955.132690306897
oe:player:2b1b78c96448cca5d0d1d3a9e2b1cae,1929.6792799390296
oe:player:76c824b72753d5938dd624b340c25fa,1855.9139470121454
oe:player:78f78a8aa2c5d6bae8a64d6950bbb0f,2035.3367451210638
oe:player:abd39a850bd09699c1dc344bdb09914,1815.3207384656637
oe:player:a8c9c13bba986f37048123eb1f40539,1936.210715886279
oe:player:5dc4c7def089c1fb4d6adb1fc5137bf,1867.2849442804438
oe:player:cd77a7b243dab170d1ad8678db9ae09,1420.0
oe:player:2aee0be2678ee90fd327cc186826438,2031.2589436163692
oe:player:2c1004649deca7d6fc035b6c832cc00,1941.732600586064
oe:player:8d091597127cc044520e13fae3a3af5,1934.3873273695165
oe:player:8718d6ba6bb37a7e664246ee7671f8d,1777.7654139775323
oe:player:00a584061728ad702af44a688a77a18,1821.9272267794518
oe:player:587d4fe3e529555ddbad29b5276d8b7,1800.8736334045295
oe:player:26cf32679ec486e40032e24fa39d15c,1967.8082885908111
oe:player:5641f40a10d08bc71f2e314d1fb30b6,1794.6854389283774
oe:player:445af96e9e883e18105c9c6072d97a1,2019.6557864916076
oe:player:00ef3d4ae3c17f496fd5f0b93488ac8,1910.4827406941936
oe:player:09d96c97e1620d175c726f41cd63cb4,1917.5602965348262
oe:player:c2aa432f19484c246c25c5eb1d8653c,1882.8430110227805
oe:player:6b9102e495c254bf17738d63b2b6997,1852.7266409178173
oe:player:99ebcbce1f1d16be78aeb86e4cd5556,1748.2870302993688
oe:player:b482c5ab9aaf1e3eef4a72831591371,1773.5293064455561
oe:player:e489de787a15dfae48904ce7f1c342a,1941.684884127764
oe:player:f9690c02553725dc99474966180c5c6,460.0
oe:player:b42e757e6ed7f3eb263f69eb034f092,2022.5166811875692
oe:player:c24be1706977e08a3f411ffe274cc33,1768.6687151291808
oe:player:9a13ae1d1d1dc5ca7a5eb770066d32a,1786.3888891087047
oe:player:1103fdbbf94b5c8893f0ca03b5c0116,1774.469544859079
oe:player:b7e279115b21562c523d2f97cfbec81,1796.7363827998765
oe:player:ef8157c63a520917cc9f20855ea7165,1020.0
oe:player:d6c7e366f3db8979614bbf3d2b5c003,1738.5473713686342
oe:player:3b09e2940f19b55b600fab5bafbde25,1546.7443571661738
oe:player:0098f9f623139fe20042eafbfe9de3b,940.0
